Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2223770.354463,0.013177854,-0.015032745,-0.01836223,1.2543914,1.1542497,9.764645
2223770.413239,-0.031222368,0.048779257,0.01712013,1.2548405,1.1410772,9.601933
2223770.508044,-0.04966103,-0.042542934,-0.031387486,1.2105327,1.0309062,9.865535
2223770.595522,0.0077902786,0.015287876,0.003679956,1.2799883,1.1825409,9.636211
2223770.713612,-0.08287491,0.012216186,-0.000484429,1.3446537,1.1344908,9.792187
2223770.793665,-0.030010097,0.047207993,0.03231746,1.0888357,0.98285615,9.666299
2223770.8918089997,-0.10997497,0.031024229,0.0092744585,1.1985576,0.9837543,9.57439
2223770.995497,-0.24226323,-0.04095436,-0.054927696,1.531615,0.57285875,9.72827
2223771.1932449997,0.71672857,1.4395592,-0.9270597,8.236622,-0.16630417,27.014174
2223771.295161,1.9941311,0.8259019,-2.7860024,0.23965164,-0.5956114,-0.24384293
2223771.390426,2.1182635,0.38244405,-2.6952093,0.15642472,-0.5578899,0.022602998
2223771.4998669997,2.11824,-0.22021839,-2.6719794,0.13247451,-0.5230124,0.102387086
2223771.590188,1.9660728,-0.69322217,-2.7151155,0.12169693,-0.5037025,0.09984238
2223771.691794,1.5594268,-1.3982962,-2.8090837,0.12933105,-0.45535308,0.18800904
2223771.799243,0.77662355,-2.1340272,-2.9466705,0.20103195,-0.40820113,0.43589357
2223771.899805,4.7263823,-0.023447003,-1.7603931,-0.2838098,-2.277514,0.015717316
2223772.002728,-2.9846094,4.23706,1.2207499,2.1026773,4.562063,-2.7825637
2223772.108498,2.099661,-1.1562915,-0.38203257,0.57570285,-6.450985,9.641899
2223772.205306,0.2189201,-0.03179202,-0.022308234,2.4400759,0.08831634,9.719588
2223772.2966819997,-0.024218254,0.0014777881,0.0021941783,2.959346,0.28725266,9.287586
2223772.394302,-0.011957593,-0.0016484967,-0.0012415657,2.9885354,0.28845015,9.362281
2223772.500697,-0.0012290488,-0.008098673,0.0008894958,3.0144315,0.30835876,9.386681
2223772.60072,0.009069129,-0.010225473,0.0037723677,3.0172756,0.27827132,9.409882
2223772.695069,0.00072278193,-0.009297362,0.004090882,3.0204191,0.29114455,9.426647
2223772.898352,-0.006154299,0.0074145067,-0.00086605997,3.085384,0.31793883,9.385333
2223772.993119,-0.007834221,-0.003115632,4.447479e-05,3.0374835,0.32452515,9.342373
2223773.096136,-0.048358742,-0.019348131,0.005036304,3.26037,0.4219725,9.263038
2223773.196216,-0.003944674,0.02311464,0.0019771308,3.0916708,0.18785934,9.577085
2223773.293406,-0.05306029,0.03035764,-0.0140471095,2.9394374,-0.07499405,10.413994
2223773.395467,0.0073993267,0.023612918,0.004705806,3.036735,0.21076173,9.282048
2223773.516459,-0.001866077,0.023525566,-0.02195084,3.1100826,0.1273851,9.423204
2223773.594077,-0.00811119,0.12997185,-0.010364491,3.0246103,0.22079086,9.39132
2223773.694572,0.03416037,0.020018183,-0.001680721,3.0418246,0.16390915,9.616153
2223773.798292,0.018596321,-0.10773365,0.009697102,2.9187803,0.20118164,9.384734
2223773.89445,-0.0118745025,0.08733251,-0.008945292,3.2335758,0.2549199,9.220077
2223774.000557,-0.013575996,0.022774288,0.007941014,2.9861403,0.20267853,9.190289
2223774.0985769997,-0.01861097,-0.031360053,-0.008095477,3.2687526,0.12992981,9.401051
2223774.192177,-0.032565933,-0.12500425,0.01606765,3.0061986,0.23126908,9.418414
2223774.304156,-0.040343694,-0.16972618,0.011425493,3.002157,0.2908452,9.324859
2223774.399526,-0.09746637,0.0336051,-0.0065007764,3.6194732,0.21510269,8.83373
2223774.501927,-0.054068826,-0.021247232,0.020025373,3.1805859,0.14145584,9.397009
2223774.596547,0.10181451,0.1687978,-0.0150924,3.1287937,0.15432908,9.561816
2223774.7937209997,0.014781876,-0.03398886,-0.009963418,2.931953,0.48020142,9.595945
2223774.946961,0.13770273,0.34629855,-0.023772707,2.8521688,0.30162278,9.156309
2223774.996754,-0.019960925,-0.042997535,0.0071103736,2.8580067,0.2532733,9.399104
2223775.09638,-0.0067670923,0.005230981,-0.0020250676,3.2260914,0.2998265,9.425749
2223775.194259,-0.0064589647,0.0069122347,-0.00015499597,3.117118,0.30057496,9.355545
