Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226332.4906409997,-0.1730381,-0.067184895,0.08275906,0.5252577,-0.46912444,10.035131
2226332.5588539997,-0.024051007,0.023644077,-0.007586281,0.723745,-0.5284012,10.215956
2226332.655835,-0.37197515,0.06988587,-0.08776501,0.40056702,-0.5908214,9.242081
2226332.756178,-0.022353776,0.1432216,0.084156156,0.4736151,-1.0572515,10.657388
2226332.857089,0.503607,-0.10062621,0.046078812,0.1911525,-0.79035646,9.519304
2226332.9542759997,0.62135595,-0.46162888,-0.10177137,0.7918533,-0.3983217,9.526489
2226333.05926,-0.8260092,0.47170362,0.19739324,0.8352631,-0.11301498,9.908495
2226333.1578639997,-0.011856926,-0.080440246,-0.00036005938,0.12648697,-0.5095404,9.856254
2226333.2569069997,0.08750748,-0.22719747,-0.0064232782,0.46223876,-0.4790039,9.266331
2226333.3575939997,-0.276891,-0.41532877,-0.04316052,0.7417076,-0.6399193,8.885523
2226333.454787,-0.06607302,-0.5826701,-0.22766165,2.5086334,-0.9912387,11.604019
2226333.556814,1.0539607,0.79218656,0.13307762,-1.5688875,-1.4492862,24.932003
2226333.757133,-1.3475435,-0.06109185,0.64158535,0.16256195,-0.1207988,-0.2945874
2226333.8567069997,-1.2471561,0.028441228,0.64205,0.1008902,-0.09131012,-0.01886078
2226333.956047,-1.1909041,-0.025073396,0.64274436,0.10538086,-0.082478486,0.11840378
2226334.055879,-1.1130719,-0.06987176,0.6467332,0.102387086,-0.07439529,0.18815872
2226334.156523,-1.0455999,-0.12951645,0.6527328,0.107027434,-0.06870712,0.18157242
2226334.255595,-0.948761,-0.2652165,0.66357774,0.102536775,-0.04790039,0.43200165
2226334.3557599997,-0.6696985,-0.43348485,0.6878117,0.10927276,-0.03757187,0.65204406
2226334.549185,-0.24588034,-0.7190029,0.7100616,0.10508148,-0.019609222,1.0298584
2226334.552994,-5.121372,3.8235173,-1.3751842,2.752626,36.74753,-8.75215
2226334.755881,-2.4698517,5.6267343,-3.5867224,0.2811154,-0.66656387,0.0398172
2226334.855688,3.0711448,-2.5103269,2.5192294,-4.8873367,-7.465725,3.059787
2226334.969734,3.7265213,-1.8411908,2.1620927,-2.0631597,-1.1343411,2.388583
2226335.056668,-1.5464367,13.71146,-3.707004,43.109005,11.513607,92.47036
2226335.157966,0.5296817,-8.415927,-1.0525564,-0.6225554,-0.4339476,2.2797592
2226335.258819,0.009603092,0.16736317,0.0014144048,1.4525794,0.52600616,11.879148
2226335.3631849997,-0.008084292,0.0037201697,0.00013821806,0.49996033,0.18770966,9.827813
2226335.4570319997,-0.007950068,0.0006591324,0.0018514296,0.41373962,0.060025178,9.751921
2226335.5552829998,-0.0071942634,0.0021608889,0.0021038973,0.42137375,0.11840378,9.85835
2226335.656323,-0.0063628242,0.0025744778,0.0015691345,0.41957748,0.11301498,9.912237
2226335.758618,-0.005787049,0.003315103,0.0023174828,0.4261638,0.0981958,9.903406
2226335.855492,-0.0071825455,0.0011624699,0.0022493058,0.4484674,0.09909394,9.855355
2226335.958503,0.03241626,0.017842114,-1.2250541e-05,0.9527687,-0.49142808,11.668685
2226336.058267,-0.0076898774,0.022812905,-0.0022700785,0.3436853,0.039368134,9.844129
2226336.162186,-0.009366604,0.0008535431,-0.0006332997,0.40326142,0.1778302,9.734557
2226336.257648,-0.0046432214,-0.0016274577,0.0021880532,0.41314086,0.09520203,9.929901
2226336.357127,-0.0030541131,0.015688948,0.0022783342,0.43574387,0.07723938,9.884695
2226336.556584,0.0018620822,0.015167767,0.019383019,0.34293687,0.07439529,9.732611
2226336.6570659997,-0.0044496097,-0.0062818644,-0.005001683,0.4629872,0.15702347,10.049353
2226336.75313,-0.012067848,0.006922621,0.0023795343,0.42107436,0.11361374,9.966575
2226336.856822,-0.009938118,0.007476292,0.0022282668,0.39248383,0.11541,9.881252
2226336.9520239998,-0.0074515245,-0.0044152546,0.001864479,0.4288582,0.12753479,9.847871
2226337.0570859998,-0.01652944,-0.024644094,0.000623446,0.42691222,0.14894028,9.72348
2226337.154951,-0.06982569,-0.14065938,0.005529255,0.606389,0.22647904,9.77632
2226337.255585,0.0043073967,0.019623503,0.0013387711,0.5785469,-0.057929534,9.835747
2226337.357213,0.021730596,0.0674339,-0.0020074907,0.40640488,0.061821442,9.971813
2226337.460564,-0.005983324,0.0020285298,0.0005667207,0.352966,0.12903167,9.898167
2226337.596742,-0.0059473715,0.0029901972,0.001567803,0.4260141,0.09699829,9.870923
2226337.662374,-0.004804609,0.0019137475,0.0022218754,0.42751098,0.09220825,9.718241
2226337.761415,-0.0060882526,0.004716192,0.0018333201,0.44367737,0.100141756,9.943972
2226337.8528299998,-0.008277371,0.00058349856,0.0015534218,0.47286665,0.09624985,9.958491
2226337.9525059997,-0.0066539077,9.054747e-05,0.0031097732,0.44697052,0.11166778,9.78081
