Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2225743.475592,0.104775146,-0.06429031,0.007841145,3.8740938,8.887468,0.058079224
2225743.559174,-0.111607485,0.053664293,0.03476437,3.8474493,9.117989,-0.20597167
2225743.658679,0.06047293,-0.031295605,0.0143579,3.9161563,8.989706,-0.1526825
2225743.7601159997,0.039647277,-0.018956913,-0.008462993,4.180956,9.15152,0.051941987
2225743.858145,-0.0143411225,-0.009956228,0.0009542106,3.8949006,8.862471,0.009131012
2225743.958557,-0.024308536,0.01615793,0.021320734,3.8705013,8.968151,-0.064964905
2225744.057524,-0.025311481,0.020461598,-0.006556703,3.9272332,8.978629,-0.12499008
2225744.159952,-0.0068549765,0.0039737024,0.017455423,3.9944434,9.045091,-0.13906083
2225744.259559,0.0023728765,0.010312293,-0.035749476,4.146677,9.219777,-0.08981323
2225744.361683,0.09066838,0.009956228,-0.040267527,4.234245,8.9762335,-0.12633727
2225744.4588309997,0.11060934,-0.02037904,0.08289568,4.2089477,9.207802,0.22498214
2225744.558075,-0.049184855,0.0285134,-0.09478989,4.103417,9.081016,-0.006436615
2225744.659661,0.056603625,0.012739764,0.009607353,4.1155415,8.985215,-0.24519013
2225744.757882,0.033062346,0.023312246,-0.008805476,3.7899687,8.799602,-0.17558487
2225744.8590079998,-0.005653092,0.027247068,0.012680375,4.079317,9.172326,-0.059127044
2225744.961367,-0.07718799,0.036900494,-0.0033483924,4.02962,9.025032,-0.14010864
2225745.1587469997,0.055788163,-0.051691424,-0.03102263,4.2617874,9.087153,-0.23965164
2225745.256941,-0.1143556,-0.03969202,-0.11629012,4.2493634,8.768915,-0.6342311
2225745.359176,-0.10699942,-0.07595255,-0.025546638,4.0098615,8.921747,-0.542921
2225745.4580969997,-0.20665278,-0.2099503,-0.21136977,4.3542953,9.000633,-0.78152484
2225745.555607,-0.3574042,-0.14505173,-0.25687227,4.306694,9.23325,-1.0204281
2225745.659599,0.3175825,-0.6168552,-0.7690655,4.368665,8.844807,-0.07694
2225745.756747,-0.6857352,-1.2824186,-0.03697959,1.0535092,8.207582,-1.4426999
2225745.8543559997,-2.4883206,-0.12049366,0.087590836,3.2919543,7.1030293,-1.8919158
2225745.9725309997,0.40201214,-3.3704412,-1.3282028,14.555881,20.778591,-3.2331266
2225746.0575349997,4.956507,-5.9316173,-4.72465,14.501694,26.907146,12.814253
2225746.152442,9.099539,-5.026223,-5.718261,0.93106383,8.963061,15.924785
2225746.258181,6.1007586,-5.825205,-4.8445053,2.18321,-0.79260176,7.079977
2225746.354855,-0.5322101,-9.1111555,-1.0174721,6.350095,-8.975037,4.114344
2225746.457723,-6.065097,-11.630688,4.6488767,21.188738,-25.776846,11.974199
2225746.554245,-1.4509125,-8.884317,20.574913,38.151615,-95.21625,48.572643
2225746.657466,23.389917,1.537607,26.967464,254.94939,-138.70352,71.10424
2225746.756499,0.84024864,9.985057,-1.2445745,50.767826,-26.358238,-9.831705
2225746.860481,9.033592,3.066481,-1.2793142,34.159416,-20.420984,-7.529193
2225746.958488,-2.8718402,-0.29746363,-2.0506,11.567495,-2.3026617,1.526825
2225747.1542189997,-1.8530788,0.567502,0.47968137,11.886931,3.0196705,3.7312908
2225747.2569049997,-1.9919018,-0.5575573,0.42304686,10.79076,2.8493247,-0.22737716
2225747.3590329997,-0.7404946,-0.14185195,0.14030251,8.63659,1.3573773,3.0885274
2225747.455075,-0.73736084,-0.35463744,-0.40251762,11.226654,2.0531304,4.7436357
2225747.558489,-1.0458721,-0.65618426,-0.30250767,8.938362,1.5840061,0.94393706
2225747.6850489997,-0.19287917,-0.9259153,-0.37454325,10.165361,1.0822494,-1.0083032
2225747.75986,-0.9840657,0.4003602,0.263821,10.486893,2.2652395,-1.1567944
2225747.859884,0.2426771,0.18441379,0.2544003,9.349109,1.9691551,0.27422974
2225747.9620129997,-0.16896212,0.14096645,0.0015089471,10.03603,1.7181271,-0.44367737
2225748.08005,0.022732476,-0.10713844,0.0035976642,9.485924,1.6019686,0.011076965
2225748.163224,0.2330423,0.13664839,0.029299831,9.323512,1.1723621,-0.18741028
