Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2226077.29758,0.16569495,-0.09639019,-0.124578945,7.1500316,3.6055522,5.336253
2226077.3876529997,0.19641133,-0.067206465,0.012764798,7.43459,3.9718406,5.1082773
2226077.482399,0.09595529,0.016360598,0.041375402,7.3510633,3.9892044,4.719536
2226077.58799,0.17538567,-0.009273127,0.10846362,7.7818675,4.0311174,5.0383725
2226077.686499,0.18051705,0.051963065,0.07698053,7.6725945,3.9809716,4.7503715
2226077.78199,0.20036559,0.13838345,0.094907604,7.341184,3.9200482,5.1398616
2226077.883207,0.30098593,0.012785836,0.1841432,7.608528,4.418362,5.63593
2226077.989242,0.98128617,0.4558466,-0.11893704,8.070317,5.115163,6.899153
2226078.08806,1.8847028,0.86003697,-0.6735001,10.191407,7.2402935,4.2040076
2226078.1826339997,1.8857846,-0.3038872,-2.3471928,9.958192,7.840845,1.1316468
2226078.284116,1.9849788,-2.5214467,-2.2047114,9.332942,7.7660007,1.299298
2226078.385882,3.4598763,-3.7430146,-2.7152076,4.011059,10.20443,-1.7974621
2226078.495884,2.8959792,-2.1846817,-2.413137,-0.5923183,6.6415386,-0.94423646
2226078.587344,2.7305107,-1.4814326,-1.3361382,-2.245181,4.477938,-4.572541
2226078.69129,1.4204612,-0.6118077,-0.493737,-3.725453,3.114124,-6.2719574
2226078.883445,2.2052946,-1.6702782,-0.85893923,-6.6524663,1.0288106,-6.918762
2226078.983699,3.3025599,-1.4478805,-1.6353687,-6.9552865,-0.20806733,-2.4962091
2226079.0875009997,2.092939,-1.3385469,-1.6063911,-7.306606,-2.9753628,-1.4186
2226079.1848939997,4.285987,0.9134019,-1.4351959,-7.5723033,-7.513775,-1.5352075
2226079.284446,0.29452565,-0.84601784,-0.9522431,-10.405611,-8.209678,-4.5041337
2226079.383056,1.3769823,-1.5903766,-1.1499436,-0.51941985,-4.3122325,1.7675244
2226079.4834499997,0.6342973,0.0013952301,-0.84125024,-2.7469378,-9.004226,1.6621436
2226079.583158,0.9049075,-1.3061223,0.9068724,-7.846234,-7.5312886,3.8203554
2226079.682668,1.1228275,-6.3846107,2.3997703,-12.162807,-8.029153,1.9714005
2226079.7839039997,-8.908712,-6.9403553,18.39841,30.007349,-40.948547,-6.6710277
2226079.890251,-13.25384,-7.3591866,21.775282,85.93734,-171.14316,72.37
2226079.986697,29.355146,-7.646847,18.187857,164.42603,-137.84729,10.552755
2226080.082576,12.076474,-0.05349811,-7.9205446,87.64245,-49.428413,-26.836344
2226080.182527,11.783592,11.329278,-0.7475123,56.35077,-43.42335,24.209755
2226080.283771,-6.2056684,1.7022468,-2.7166686,17.210161,-3.9038818,20.520826
2226080.487131,-2.6374266,-0.12017967,0.8981921,8.293953,9.20406,5.6226077
2226080.5866549998,0.7346945,-2.0835927,1.3031454,9.688602,11.119627,2.7351122
2226080.6848089998,-0.21391416,-0.32299083,1.1461204,2.764601,5.267546,3.0061986
2226080.785623,-0.14841104,-0.08719748,-0.57054657,9.509725,9.553733,-0.16525635
2226080.887067,1.0367856,-0.45728207,0.33472127,7.068301,5.6179676,4.0218368
2226080.989645,-0.39622164,-0.5922913,0.083830185,7.999066,5.814658,1.1177257
2226081.08269,-0.2986706,-1.2725759,-0.40155807,7.473509,6.4277835,-0.7629634
2226081.18602,-0.6284024,-0.8434159,0.7241263,4.7101054,6.361471,-2.131717
2226081.2853039997,-0.29014182,0.11932187,0.40629825,11.618838,5.6794896,0.6225554
2226081.385535,-0.26055756,-0.9178257,0.3920104,7.3736663,5.0639696,-0.95860654
2226081.483154,-0.18371178,-0.27184936,0.41959834,7.470814,5.100643,-0.7695497
2226081.588502,-0.15091175,0.4258927,0.34772813,7.565268,6.612649,-0.45550278
2226081.6881609997,-0.034334805,-0.31234485,0.14520779,8.001611,5.779182,0.606389
2226081.787194,0.17881502,0.11758202,0.05144881,6.836583,5.7353234,-2.7412496
2226081.890697,0.02085042,0.08969527,0.10698504,7.3850427,6.03515,-2.0088227
2226081.982912,0.25941506,0.7448992,-0.002167547,6.349047,5.7296352,-0.7361691
2226082.112582,0.53572947,-0.30217636,0.12031177,7.9861927,5.5362372,-1.4597644
2226082.187842,0.006180132,0.44438705,0.44214305,8.271799,4.9620314,-2.9937744
2226082.384143,-0.48214695,0.17442213,-0.22113451,8.097711,5.803581,-0.07918534
2226082.4826889997,0.040468063,0.012318985,0.070067234,7.6962457,5.8764796,-0.97851515
2226082.585926,0.0727288,-0.009971674,0.043575972,8.05011,6.663094,-1.1009605
2226082.685925,0.060561348,-0.09356484,-0.04023557,8.595575,5.472919,-1.2040961
