Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228772.8945609997,-0.6422807,0.23449986,-0.23244363,8.331525,4.4791355,-1.4302757
2228772.948376,-0.18378714,0.27736822,-0.027927505,8.260273,5.166656,-0.8517288
2228773.0514599998,0.46401507,-0.14222984,-0.22065248,8.677605,5.0771422,-1.5179933
2228773.152612,-0.035930037,0.048121456,-0.15737177,8.287216,4.931944,-1.932182
2228773.251442,-0.34719712,0.25320083,-0.13907507,7.732919,5.234914,-1.3232483
2228773.351576,-0.1708583,0.08994587,0.20635557,7.6167607,5.8636065,-0.20821701
2228773.452221,0.6078516,-0.13723136,-0.250543,7.3953714,5.0738487,-0.0916095
2228773.54929,0.21183743,0.19692665,0.10377912,8.119565,5.037175,-1.7060024
2228773.649381,0.07576454,0.4408232,-0.00534816,7.6919045,5.1748886,-1.8983524
2228773.752436,0.045621015,0.17672896,-0.053128198,8.879684,5.6064415,-1.4235398
2228773.85529,-0.20129237,0.5078262,-0.33293986,7.6808276,4.6523256,0.17408799
2228774.05117,-1.9185537,2.1206057,1.3549796,16.339272,3.530259,7.2769675
2228774.1450529997,0.17725255,-2.2141223,0.4064655,14.519207,-0.8285271,3.1030471
2228774.247834,1.0008562,-3.0538123,-5.42507,24.125032,13.994548,-1.0779085
2228774.354719,-1.1810384,-4.8627563,-8.00816,8.014483,8.279732,-5.7675066
2228774.455235,2.750081,-6.972079,-8.668017,-21.71145,3.0937665,5.561385
2228774.5514579997,0.6417853,-7.4616246,-2.286662,-25.20294,-16.906893,21.902903
2228774.650327,0.25456226,2.933729,7.249015,46.500652,-27.580894,-6.162984
2228774.752277,-0.46352533,-8.726468,-4.3237844,5.2473383,18.178349,-18.972147
2228774.851744,1.6440165,-3.0380352,0.7828948,-9.113349,4.2180786,-0.9145981
2228774.95356,-0.7828224,0.011015633,-1.0473243,0.6771918,9.002579,-13.143269
2228775.045926,-0.04566336,0.08348691,0.25216034,-1.6961229,7.2486763,-3.854185
2228775.153084,0.015757924,-0.14485013,0.14988591,-2.7707381,7.495064,-6.254893
2228775.250995,0.017525198,-0.097215235,-0.29754433,-2.046544,7.875273,-4.647236
2228775.352015,0.20997933,-0.20223673,-0.37212855,-3.2796798,7.759414,-5.716912
2228775.4526649998,-0.107331514,0.31665918,0.1743212,-3.5778599,7.384893,-6.7656307
2228775.552702,-0.8126234,0.13978213,0.46133912,-2.7770252,7.6130185,-4.076922
2228775.7512129997,0.043894753,-0.0082052,0.20149237,-2.4339385,8.297096,-3.6988082
2228775.857473,-0.14034353,-0.22042719,0.21815418,-1.9236498,8.236622,-5.479356
2228775.957478,-0.055812664,0.03568822,0.316489,-2.1474345,8.309521,-5.1124687
2228776.0470519997,-0.0752098,0.44241843,-0.14906459,-1.6569045,8.630902,-4.5198507
2228776.1478359997,0.34212005,-0.32539248,-0.019256253,-1.5154486,8.170909,-4.5936475
2228776.2532679997,-0.0030772826,0.5971204,-0.40742156,-0.2201921,5.724396,-3.1118789
2228776.3502909997,0.20586795,1.4791535,-1.4948465,1.3088782,2.6346712,-1.9839743
2228776.451895,0.840985,2.682861,-1.8571417,-1.7363892,-1.7271085,0.35581008
2228776.551866,0.07807962,4.898267,3.3306386,-1.2244537,-3.1201117,-0.24758515
2228776.6534249997,-1.1852995,5.214988,6.9570174,13.55132,-6.457422,-2.9591963
2228776.7558999998,-2.5714617,1.6610372,6.7240257,32.804432,-1.5239809,-7.39133
