Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228482.894293,-0.01017514,0.026423085,0.08788991,10.178084,-0.6893166,-0.5879773
2228482.9032739997,0.035649873,-0.008279235,0.05759219,10.233319,-0.6813831,-0.62135786
2228483.103776,-0.09682907,0.22498918,-0.46045682,10.241702,-1.171464,-0.925226
2228483.207775,0.040306676,0.19740921,-0.390078,9.549991,-1.2021501,-0.26869124
2228483.3037119997,0.19966838,0.18226461,-0.31348655,10.444381,-0.5218149,-0.18830842
2228483.4063029997,-0.71057904,0.61610764,-1.0162265,12.140504,1.386866,0.14714402
2228483.5120409997,0.73440766,0.9687334,-2.0928154,10.615475,3.3359628,3.83742
2228483.604152,2.7001278,0.42892873,-2.77715,11.260035,4.5960426,4.6855564
2228483.714815,1.3070747,2.1377301,-6.4084005,20.662882,3.6336937,1.1599379
2228483.7997999997,4.199314,-1.699858,-3.539933,11.45972,-1.5953823,-2.0577707
2228483.907077,2.2941139,-0.49329385,-0.99076384,-0.9662407,0.787662,-3.6036062
2228484.003578,-0.05480226,-1.1462985,2.6107645,-6.192323,0.69575316,-5.049599
2228484.106483,-3.7273858,-0.39596385,1.8999513,3.7279975,4.5800257,-2.6147625
2228484.2028119997,-2.7414556,-0.956514,1.1059682,-2.7638526,8.094118,-4.2285566
2228484.301029,-4.4227943,1.4171759,-1.2697353,-1.2046949,14.286291,0.9383986
2228484.403835,-3.283082,-1.7116874,-5.508524,6.538852,6.5949855,2.2647903
2228484.5120039997,8.398403,-2.4145174,-5.253232,1.7983603,25.581354,11.565699
2228484.605399,9.956826,-3.2294447,-7.911522,2.3692732,9.079819,11.9988985
2228484.7118019997,5.1625557,-4.176808,-5.5129538,-2.1137545,-1.7862355,3.86631
2228484.913586,-4.9794946,-8.601506,3.0988133,14.792539,-18.21592,10.758577
2228485.003742,-4.408231,-6.739782,9.085952,5.402715,-57.357273,30.041779
2228485.100944,-7.7047668,-0.7411074,21.282993,132.09357,-79.69323,46.63582
2228485.1974299997,5.262484,9.461785,-0.70799977,82.60317,-8.218809,-42.52312
2228485.299985,2.693338,0.46927854,5.3246574,30.470785,-20.943697,-9.345666
2228485.404551,-2.5473442,5.4247093,-1.9511623,24.927813,-10.284513,2.1799169
2228485.5070019998,-0.7442936,3.507642,2.8557289,4.219276,-6.326594,17.014967
2228485.604014,-0.6979775,-3.110861,0.41704568,13.837225,-0.82972455,1.7290545
2228485.707788,-3.3717184,-1.3527521,-2.7265584,7.3995624,-1.3063334,-2.5286915
2228485.816614,-2.7399378,-1.9993485,-2.210475,10.174642,-2.2882915,2.4960594
2228485.907596,-1.748333,-2.4347148,-0.94212705,9.947265,1.662892,1.2759466
2228486.004015,-3.9706478,2.6380038,-0.68271655,2.410587,0.89364165,-1.3762381
2228486.1014549998,0.31315127,-0.7297221,0.88389117,7.2441854,6.380931,0.8523276
2228486.206714,1.3091348,-0.6171873,0.19531463,8.16552,4.9514036,1.665287
2228486.3103879998,-1.3911858,1.1846523,-0.36393988,7.066505,4.9301476,-2.81804
2228486.400486,0.37407586,-0.46126828,0.30714396,11.201357,4.630321,0.20731887
2228486.503931,-0.30281714,0.17611325,-0.055820122,9.915081,3.6534526,-0.03637436
2228486.7027809997,-0.4296688,-0.073244385,-0.016383234,9.640103,4.562662,-0.30491593
2228486.802764,-0.13565716,-0.024108266,-0.07983917,8.960367,4.594845,-1.1572435
2228486.911274,0.09900488,-0.37198368,0.14642406,9.58412,5.0117283,0.4351451
