Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228606.741445,-0.1258594,-0.10078014,-0.018700184,3.6396813,1.7483642,9.358539
2228606.90369,0.009854228,-0.037069604,-0.049979545,3.7851787,2.0368145,9.340277
2228606.9471609998,0.005047223,-0.07314692,-0.030545926,3.6443217,1.857637,8.914113
2228607.046852,-0.070569776,-0.0053974288,0.035576902,3.6559973,2.0561242,8.637788
2228607.152583,0.03680462,0.06694255,-0.06068119,3.6507583,2.0017872,9.105415
2228607.2464799997,-0.047617853,0.028456941,-0.061742194,3.5913317,1.9604732,8.747808
2228607.348398,-0.030813307,0.0009994843,-0.03875725,3.636388,1.9014958,9.030122
2228607.444964,-0.06573161,0.039313585,-0.11057152,3.7266505,1.9734961,8.938512
2228607.647277,0.0014370417,-0.02598313,0.041886996,3.3223412,1.8050963,8.86277
2228607.7509459998,0.035932966,0.0871871,-0.021110078,3.7038977,1.9977456,9.030122
2228607.846762,-0.04998354,0.0017251958,0.005087703,3.5949242,1.8175205,9.1202345
2228607.943248,-0.06788318,-0.05472237,0.31592894,2.836751,2.4295976,9.197024
2228608.048654,0.7090528,-0.597122,0.5929861,2.412533,4.613107,10.182875
2228608.143356,2.3014164,-0.3298666,2.5680158,-5.0078363,0.39622605,12.19499
2228608.247959,3.7478256,-0.24566942,4.523119,1.3115726,-3.1118789,11.888727
2228608.346732,4.5734386,1.3626015,3.1549675,7.5408688,-2.8445349,12.193943
2228608.4477359997,4.3458266,0.8161286,4.416773,4.87626,-7.878716,13.972993
2228608.54798,3.9107118,2.083963,1.6278439,10.94958,-6.605464,3.2876134
2228608.651621,3.9519835,1.6189383,0.97174644,13.277539,-5.0777407,3.2906072
2228608.7511259997,-2.2769778,0.12605168,0.40432084,6.2575874,1.357527,-12.2858515
2228608.8483579997,-1.8532342,-2.1106448,2.922337,17.800085,-14.100528,15.688426
2228609.025587,-14.014718,-4.7022066,-3.6043296,44.079586,-58.156013,13.696518
2228609.0472609997,-17.156456,-3.9820223,-4.3487587,46.012367,-65.543755,11.593691
2228609.1509559997,-10.892545,5.9870033,-13.303515,20.18732,-71.69192,35.477573
2228609.247428,6.119744,-3.8920717,-3.652284,-17.9131,-26.638754,28.022476
2228609.447299,-0.9395739,-0.29096046,-3.3867261,-3.6040554,-3.6941679,17.752335
2228609.548945,0.6361738,0.9451987,-0.27284166,-7.298672,0.97567105,11.171868
2228609.647182,1.6292804,-0.5172929,-0.025419872,-4.233347,3.7444634,8.628207
2228609.746814,1.6968589,0.071746625,0.8290042,-3.3606615,6.60726,7.632628
2228609.844691,1.2858815,0.6172155,1.2066858,-2.5590785,8.409363,6.701115
2228609.9452919997,0.9657677,-0.25849575,0.7878677,-2.6195526,8.095166,3.2943494
2228610.048417,0.24295247,1.0843098,0.6326733,-1.366658,8.190218,4.201912
2228610.15379,0.5078028,0.41922683,0.43661752,-1.2961546,9.193582,2.8038194
2228610.257416,0.3007886,0.5313025,0.56083536,-0.69919604,9.36752,1.4641054
2228610.354251,-0.1224841,0.44946223,0.22545363,0.4430786,10.291399,1.1844869
2228610.444757,-0.9232743,0.6573318,0.5039486,-0.558788,10.144704,0.57914567
2228610.5480339997,-0.48092163,0.11662328,-0.1652739,0.4538562,9.764645,3.5048118
2228610.646439,0.027337082,0.18450832,0.04808577,0.49531996,8.975636,4.6412487
2228610.747712,-0.07731636,0.040345825,0.06787332,-0.2959346,8.914862,2.577939
2228610.843213,-0.059858806,0.048131578,-0.10606412,-0.5334906,9.061407,3.299289
2228610.951637,-0.24093671,0.069242455,-0.09681336,-0.91504717,8.979676,3.4030235
2228611.045485,-0.25861478,0.032903623,0.112892196,-0.9665401,8.203691,4.1948767
2228611.246732,0.2506064,0.07346064,0.25498036,-0.050145723,9.705816,3.1922617
