Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2228910.520869,-0.47225168,0.2835598,-0.04322577,2.4680676,8.7157755,-3.172353
2228910.595892,-2.2634203,0.64744,-0.07833688,1.8800904,8.690478,-2.5200095
2228910.696308,0.2175041,-0.2415037,-0.14046258,2.1133053,10.020163,-0.1167572
2228910.8029859997,0.30108023,0.30718312,0.055547416,1.9649638,8.854387,-0.37452117
2228910.890797,0.2868139,-0.06768903,0.2642652,2.5524921,9.21364,-1.1042536
2228910.992873,0.43229577,-0.11652502,0.06356912,3.1009514,9.677226,-1.9290385
2228911.1022759997,0.3461662,-0.32871875,-0.06993115,2.8973749,9.501941,-2.0405567
2228911.1924219998,0.2612678,-0.35625213,-0.14354731,2.6683512,8.902138,-2.753973
2228911.292849,-0.10452801,-0.33143172,-0.23004545,1.9755918,8.101153,-3.3684454
2228911.390898,-0.0706526,-0.23757021,0.37473285,3.437302,7.9329033,-1.4952407
2228911.492856,-0.19996132,-0.14245248,0.48687512,3.8588254,10.255175,-2.6577232
2228911.590601,-0.46571285,-0.9137255,0.03105512,3.992797,12.160412,-2.0974383
2228911.6935839998,1.8854587,-1.6482698,-0.9056891,-4.1378455,12.486883,-5.9760227
2228911.894037,1.3169163,0.95162976,-3.3798275,-20.919746,-1.757196,-3.9225929
2228911.995937,-3.9581985,6.1025295,7.7152395,27.264902,-24.11665,16.081808
2228912.090049,-2.6023793,2.6943944,-5.2015705,24.908054,-3.862867,-6.9831285
2228912.19239,-1.1948179,2.0725021,-0.47714287,13.582754,-6.4931974,-5.4625907
2228912.290897,-3.5400672,0.8326139,-1.1783897,21.232597,14.824423,-5.2693424
2228912.3939259998,-3.0780773,-3.8777642,-0.006630472,2.4786956,15.600858,-5.0578322
2228912.4930769997,-6.517533,-3.6980817,-1.5776974,2.6902056,9.527837,-2.9359946
2228912.594373,-4.8421807,-4.768355,-2.7771327,-9.30974,-0.63752425,-0.549657
2228912.691058,-0.58390045,2.702354,-0.13601989,-13.505665,6.874754,20.75464
2228912.793303,8.770121,14.805412,2.6627474,10.288855,-3.5084043,104.09204
2228912.899417,13.632822,8.066752,-7.376213,75.422905,-22.145847,44.615772
2228913.095016,-2.2551022,0.53770846,0.9932728,11.44535,-10.83447,-7.620353
2228913.190304,-4.8767347,0.30632025,3.4970584,8.009245,4.0555167,-9.354347
2228913.292015,0.5656895,-4.3082967,-0.28368098,19.783909,-30.710886,73.13776
2228913.402014,-4.1188564,-2.9645848,0.6295652,20.069216,20.095411,-2.0522323
2228913.498718,-1.5257328,-0.8382928,0.58870214,-0.4870871,8.486452,-1.9631675
2228913.59938,-1.5326992,0.35837013,0.4154164,7.6868153,9.883198,-0.1567241
2228913.695922,-1.256057,-0.28240585,1.368857,2.5667124,7.9276643,-4.2078996
2228913.799237,-0.64255846,0.06866215,1.0936934,4.399801,7.960895,1.103655
2228913.890119,-0.0015611451,0.45911273,0.24920663,6.193371,8.685688,-0.3546126
2228914.016922,-0.32320976,0.71137744,-0.6710021,6.047724,8.6208725,-0.30371842
2228914.089686,0.41260433,0.17600939,-0.6266429,7.3158865,9.272468,1.0873389
2228914.212183,0.2651925,0.10297672,-0.9351024,4.386179,6.8834357,-1.626817
2228914.2957949997,0.5598303,-0.78735983,0.03107909,4.371809,7.2828054,-0.5272037
2228914.3974679997,0.025588185,-0.08330235,-0.06469218,6.1358905,8.710386,-1.6700771
2228914.491457,-0.041225467,-0.1971863,-0.04607588,5.3121533,8.768017,-1.1302996
2228914.5942019997,-0.18223958,-0.60201955,0.011857458,5.425318,8.2550335,-0.74380326
2228914.693162,-0.010920292,0.07024807,-0.28041434,5.1018405,7.4639287,-0.9957294
