Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
2225603.188518,-0.077387735,-0.22344507,0.048267398,5.464686,6.465954,4.6707373
2225603.215946,0.04712144,-0.11973412,0.061966963,5.811365,6.385571,5.554649
2225603.31629,0.1191959,-0.23429532,0.06671804,5.608836,6.3346767,4.8566504
2225603.416324,-0.1595846,0.109466575,0.0051161987,5.6453605,6.319708,4.814738
2225603.511964,0.09358295,-0.00028708877,0.023787621,5.731132,6.6680336,4.7425876
2225603.717607,-0.047275104,-0.071782574,0.10675547,5.2635045,6.2526474,4.6349616
2225603.812579,0.021812355,-0.017396834,0.03855911,5.7125707,6.724017,4.5084743
2225603.9160229997,0.0124950195,0.0027270769,-0.06776467,5.6154227,6.457721,4.4047403
2225604.016398,0.13189864,-0.06552841,-0.05807795,6.0222764,6.649023,4.955894
2225604.12734,0.13569444,-0.071756475,-0.020319918,5.8722887,6.531817,4.4141707
2225604.219281,0.0032069786,-0.07875899,-0.04617442,5.9772205,6.6349525,4.649032
2225604.317619,-0.044480648,-0.11761558,-0.006931942,5.8648043,6.587651,4.524791
2225604.43521,-0.027627368,-0.052047756,0.018381137,5.915848,6.665639,4.355193
2225604.5307859997,-0.16307813,-0.09739127,0.06253608,5.6953564,6.462661,4.2834926
2225604.622109,0.19756821,-0.25901213,0.028710209,5.610932,6.6392937,4.0209384
2225604.713995,-0.10484013,-0.19195639,-0.012364791,5.672903,7.3756123,3.6067498
2225604.817322,0.056773532,0.23702453,-0.039536223,4.5625124,8.046517,4.4258466
2225604.9296319997,0.77602863,-0.10188189,-0.08690693,4.81354,8.253387,3.881728
2225605.0182169997,1.3785573,0.05081684,-0.38367894,5.8281302,9.715397,2.9967682
2225605.116632,1.481513,0.61292946,-1.5186481,5.219197,14.399306,7.914192
2225605.215299,2.3539429,1.0010705,-2.6475875,3.1939082,9.445807,1.8878741
2225605.312075,2.4724398,-0.7621416,-1.7629519,-1.3001962,2.8596532,-3.1822326
2225605.513221,-0.33957222,-0.40913266,4.3777857,14.082865,-7.6252933,-3.6621346
2225605.62363,-1.8945025,-1.9297187,6.065703,39.916145,22.652094,8.941357
2225605.719143,-2.7611623,-1.3069124,0.15549585,13.134437,19.18261,7.675439
2225605.815164,-0.72144526,-0.3389485,-1.0060728,-3.0409265,10.005493,3.8811293
2225605.916476,0.28231877,2.1042695,-3.7525856,6.4622116,13.824203,3.7555404
2225606.011823,3.618172,1.9417545,-5.482031,23.419249,18.969452,1.5588584
2225606.114402,1.3545218,1.3841114,-2.8795488,3.5274148,-0.84858537,-7.1706886
2225606.215105,0.48591557,0.23797421,0.15837233,1.6723224,-6.8026037,-0.061522063
2225606.4189359997,-0.26480025,-3.0300245,6.3191752,26.236242,23.14951,14.740297
2225606.52385,-3.1044898,-0.65550834,0.38098997,5.1313295,15.036382,-0.23935227
2225606.6211699997,-0.34411317,-0.6960462,-1.1965353,-2.4316933,5.925278,1.8486557
2225606.7222349998,-0.37874252,1.7767042,-2.1147242,1.2638218,13.19521,1.8458116
2225606.816238,2.084486,2.235617,-3.8124363,17.407751,17.866247,3.8481977
2225606.91347,1.7790294,3.3758411,-0.7824349,4.917424,-3.937412,1.4726377
2225607.012672,1.3932884,0.70210886,0.884937,2.1481829,-6.3578787,-7.052135
2225607.11626,-2.7233436,-1.9483294,3.3651931,7.4899745,-0.87118834,-6.03515
2225607.216592,-0.9044401,-1.4663186,4.6151514,20.08583,16.043337,3.9423518
2225607.315321,-3.9555037,0.00262348,1.6159816,3.04871,9.902208,-1.0847942
2225607.415575,-0.5336948,0.047525708,-1.3499974,2.3363416,10.653047,2.301015
2225607.515872,1.48967,1.1195722,-3.349142,14.22447,14.549145,9.8044615
2225607.615532,2.7489555,0.3243376,-1.6173263,16.390017,7.2181396,4.3704615
2225607.712522,1.6040472,1.8921765,-0.39094725,2.653532,-1.4340179,-2.7330167
2225607.818376,0.67379624,0.11456653,0.995667,3.887865,0.98480207,-7.2837033
2225607.9155039997,-2.5214999,-0.7689073,1.1983072,9.000034,9.326506,-3.2654595
2225608.116198,-0.25432947,-0.6584122,0.3558223,7.093,7.491172,1.0190808
2225608.2102679997,-0.55197185,-0.4452483,-0.5989191,4.2616377,4.2739124,-2.626139
2225608.315045,-0.023407854,-0.9642257,0.1386961,5.2480865,4.488416,-2.0698957
2225608.4123939998,0.33048818,-1.5684032,1.2310017,10.120903,7.3028636,-1.8149757
2225608.515255,-0.23597099,-1.6245927,1.095376,6.202352,4.4123745,-3.0326934
2225608.618082,-3.2489161,0.25654098,3.425306,4.0501275,-3.251239,-1.4494358
2225608.723963,-2.805636,-0.6724716,4.4150033,8.955577,-4.305946,0.33679962
2225608.821209,-3.7910626,1.3941667,4.2868843,14.568455,-4.2869353,2.0618124
